DCODE,DNAME,TEACHER,INST_AID,INST_SUP,GUIDANCE,LIB_SPEC,LIB_SUPP,LEA_ADM,LEA_SUPP,SCH_ADM,SCH_SUPP,STU_SUPP,OTH_SUPP,SE_INSTR,SE_SUBJ,SE_CONS,SE_AID,SE_SUPP,SE_OTH,CT_TEACH,CONS,LEA_DIR,COORD,SUPERVSR,SCH_DIR
82921,Academy for Business and Technology,35.25,4.65,2,2,,,0.02,,1.99,4.12,2,11.38,6,,0.85,6.35,1.4,,,,,,,
82923,Chandler Park Academy,106,,1,2,,,0.01,1,8.99,14.5,28.8,44.75,,,4,,1,,,,,,,
82924,Marvin L. Winans Academy of Performing Arts,58,6,2,1,,,1,,5,10,5,1,1,,3,,,1,,,,,,1
82925,Detroit Community Schools,44.52,0.8,2,2,,,5.68,1,4,4.7,9.6,7.78,2,,,,1.6,,,,9,,,1
82926,Henry Ford Academy,23.4,2,,1.5,,,1,,2.1,2,5.75,,1,,1.5,,,,,,,,,1
82927,HEART Academy,6.45,,,1,,,1,,,1,,,0.8,,,,,,1,,,,,
82928,The Dearborn Academy,28.5,11,,,,,2.25,,2.25,2,,8,,4,0.25,2,1,5,,,,,,1
82929,Detroit Academy of Arts and Sciences,45.5,7,1,,,,1.5,,4,2,5,5.5,3,,1,,,,1,,1,,,
82930,Dove Academy of Detroit,27,8,,,,,0.5,,1,1.5,1,,0.5,1,,,,,,,,,,
82933,Timbuktu Academy of Science and Technology,16,3,,,,,1,,1,1,5,1,,,,,,,,,,,,
82937,George Crockett Academy,22.05,5.41,2,1,,,0.01,1,2.03,1.12,0.09,4,2.25,,0.66,0.84,1.44,2,,,,,,
82938,Summit Academy North,77.75,28.62,4,1,,,1.2,,17.1,13.46,0.98,28.25,9,,2,,5,,,,1.24,,,1.75
82940,Voyageur Academy,37.68,10.11,1.9,1,,,0.01,1.9,3.81,0.9,0.91,13.46,4.9,,0.3,3.2,2.45,,,,,,,
82941,Star International Academy,87.25,18.24,3.07,4,,,8.61,0.4,13.86,11.11,16.17,28.32,1.56,0.84,0.74,,1.97,,,,1.57,,,
82942,Hope Academy,36,6,,,,,0.1,,0.9,4,,1,2,1,,,1,,,,,,,1
82943,Weston Preparatory Academy,19,5,1,,,,0.2,,3,1,1,1,1.5,,,,1,,,,,,,
