DCODE,DNAME,TEACHER,INST_AID,INST_SUP,GUIDANCE,LIB_SPEC,LIB_SUPP,LEA_ADM,LEA_SUPP,SCH_ADM,SCH_SUPP,STU_SUPP,OTH_SUPP,SE_INSTR,SE_SUBJ,SE_CONS,SE_AID,SE_SUPP,SE_OTH,CT_TEACH,CONS,LEA_DIR,COORD,SUPERVSR,SCH_DIR
23050,Eaton Rapids Public Schools,113.5,18.39,2,3,,4,1,1.05,14.95,16,,55.93,23.5,,1,26.4,,,,,2,,,2.55
23060,Grand Ledge Public Schools,224.05,19.2,4,8,,,5,4.75,14,37.25,14.55,104.1,18.65,26.75,2,50.45,,11.4,1.95,,3,,,
23065,Maple Valley Schools,51.3,4.31,,2.4,,1.69,1,0.7,3.15,6.89,4.05,20.02,3.7,2.5,,7.92,,,3.25,,2.9,,,
23080,Olivet Community Schools,81,10.3,1,1,,,3,,3.5,10.4,5.5,34.22,4.22,2.35,0.43,10,,,,,2.5,,,
23090,Potterville Public Schools,52.65,5.46,,0.8,0.8,0.64,1.6,,4.4,7,1.4,21.95,3.4,,0.6,8.2,,,0.33,,,,,
23490,Oneida Township S/D #3,1,,,,,,0.1,,0.1,,,0.38,,,,,,,,,,,,
23901,Island City Academy,11.8,,,,,,1,,,2.25,1,,1,,,,,0.5,,,,,,
23902,Relevant Academy of Eaton County,3.5,1.3,0.5,,,,3.2,,0.3,,0.5,,,,,,,,,,,,,0.4
24020,Harbor Springs School District,50.45,5.34,1,2.8,1,,1,1,4.1,6.27,6.15,25.23,1.4,2.6,,9.35,,,,,,,,2
24030,Alanson Public Schools,17.46,,,,,,1,,,,,3.81,2,,,,,,0.6,,0.34,,,0.2
24040,Pellston Public Schools,31.26,3.4,,,,,1,1,4,2.75,2.84,10.51,2.86,,,0.64,,,0.84,,,,,
24070,Public Schools of Petoskey,131.85,36.49,1,4,,,4.36,1,8.59,17,12.25,60.4,9,6,,26.2,,,4.4,,1.06,,,
24901,Concord Academy - Petoskey,17.33,0.66,0.5,,,,1,,0.5,1.17,2.17,,2,,,,,,,,,,,
25000,Genesee ISD,27.2,25.39,33,2,,3,10,16,6.4,73.41,82.25,260.67,92,,27.4,168,46.27,14.71,,,9.62,,,
25010,"Flint, School District of the City of",429,94.86,39.25,12,3,1,1,13,37,101.07,45.78,848.03,87,2,10,40.74,32,5,29.88,,9.85,,,1
25030,Grand Blanc Community Schools,378.8,27,1,10,2,12,6.27,0.5,18,44.5,24.5,152.2,5,1,49,39,9,,5,,1,,,
25040,Mt. Morris Consolidated Schools,97.12,20.7,2,3.38,,,2.71,3.19,9.5,14.6,14.4,50.21,4.67,15.03,4.8,13,4,,,,1.42,,,0.68
25050,Goodrich Area Schools,87.67,,2.32,3,,,2.1,1,5.4,7.87,9.53,60.46,3.08,7.49,,15.25,,0.34,,,0.5,,,
25060,Bendle Public Schools,72.98,19.4,0.7,4,,,1.1,1,7.5,14.25,10,25.98,5,2,2,1,3,8.9,,,,,,0.5
25070,Genesee School District,40.75,5,1,0.5,,,1.4,1,2.6,4.4,7.5,17.7,2,1,0.5,1,,,,,,,,
25080,Carman-Ainsworth Community Schools,198.78,39.42,0.75,10,2.2,,5.3,3.1,19,32.2,30.86,102.77,16.4,18.6,7,,5,,5.4,,3,,,
25100,Fenton Area Public Schools,144.51,11.97,0.33,5.5,,3.15,5,1,11.57,18.93,15.51,59.37,14,10.1,7,13.55,5,8.49,,,2.1,,,2.21
25110,Kearsley Community School District,128.2,19.59,7.5,6.5,,4,2.1,3.17,8.5,15.27,7.63,97.63,4.1,10.4,8,25.25,2,,1,,1.9,,,
25120,Flushing Community Schools,177.88,17.9,8.25,3,0.6,,2.1,3.37,10,23.2,23.84,88.05,23.6,4.01,4.3,26,2.99,0.49,3.39,,2,,,
25130,Atherton Community Schools,39.08,,,1,,,1,0.5,3,4.02,1.56,12.28,5.52,,1,,2,,,,,,,0.25
25140,Davison Community Schools,233.4,41.36,3,10,2,2,6,2.1,19.53,43.97,34.7,116.99,7.68,20.32,6,17.97,1,0.25,5.5,,4,,,0.25
25150,Clio Area School District,149.7,13,1,5,2,4,3,,11,28.27,5.4,81.95,7.75,6.4,6.1,9,1.67,0.5,1,,1,,,2
25180,Swartz Creek Community Schools,173.9,19.8,,4,,,4.05,4.16,13,25.57,37.02,71.98,10,8.6,8.2,24.01,1.58,,,,,,,3
25200,Lake Fenton Community Schools,80.17,10.48,1,1.83,0.75,1.88,3,1.7,4.51,10.94,10.54,42.97,7,2.75,2,12.39,,0.15,0.5,,1,,,0.5
25210,Westwood Heights Schools,43.83,4.05,,,,,1.35,,2.33,4,4.73,28.73,2.47,4.04,1,5,1,,0.17,,1.15,,,
25230,Bentley Community School District,37.03,3.65,0.45,2,,,2,1,2.05,5,5.98,17.07,3.26,2.07,1,6.97,0.5,,,,0.5,,,
25240,Beecher Community School District,69.75,12.06,,2,1,,2.9,1.94,10.35,14.54,5.49,49.33,6,2,,3.82,4,,,,3,,,1
25250,Linden Community Schools,116.8,14.7,3,3,,,3.01,1.19,6,13,26.7,36,3.25,16.75,6,,3.5,25,,,3,,,1
25260,Montrose Community Schools,65.8,14.65,1.01,2,,,4,2,2.25,11.3,7.05,36.19,9.3,2.9,0.8,,,,0.2,,,,,
25280,LakeVille Community School District,63.1,7.93,,2,,,1.4,0.11,4,4.84,9.25,10.69,0.6,7.4,0.4,10,,,,,1.1,,,0.5
25902,Woodland Park Academy,25,2,,,,,0.99,1,1.21,1,1,4.25,2,,,1.75,0.25,,,,,,,1.8
25903,Grand Blanc Academy,24.9,3.25,1,1,,,0.2,1,0.8,1,1.1,4.31,3,,,3,1.1,,,,,,,
25904,Northridge Academy,11.5,4.99,,,,,0.01,1.33,0.99,,1,2.8,1,,0.5,2.38,,,,,,,,
25905,International Academy of Flint,55.5,3,1,,,,0.5,,10,7,23,8.75,1,4,,2,3,5,,,0.5,,,
25907,Linden Charter Academy,34,11.06,,,,,3.8,,0.01,2.38,,5.53,4,,1,2.5,1.4,,,,,,,
25908,Academy of Flint,25,20.23,,,,,1,,2,4.75,2,11.58,3,,,1,1,1,,,,,,
25909,Burton Glen Charter Academy,32.87,11.88,,,1,,5,,0.01,2.38,,3.82,3,,,3.82,1.9,,,,,,,
25910,Richfield Public School Academy,41.6,1,,,,,1.8,1.1,1.2,3,7.75,10.88,3,1,1,,3,2,,,1,,,1
